university,landing_page,domain,query_used,title,policy_url,method,domain_restricted,_source
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/celt/exploring-ai/academic-integrity-and-detection.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/celt/exploring-ai/resources-for-researchers.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/myuml/news/2024/ai-academic-integrity-policy.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/celt/exploring-ai/ai-guidance-ori.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/it/software/generative-ai.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/catalog/undergraduate/policies/academic-integrity.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/celt/exploring-ai/ai-task-force.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI guidance,,https://www.uml.edu/celt/exploring-ai/ai-guidance-office-of-research-integrity.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI guidance,,https://www.uml.edu/celt/exploring-ai/about-this-project.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI guidance,,https://www.uml.edu/docs/policy-on-graduate-student-use-of-generative-artificial-intelligence-technology_tcm18-370000.pdf,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI guidance,,https://www.uml.edu/celt/exploring-ai/ai-tools.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI guidance,,https://www.uml.edu/celt/exploring-ai/ai-in-higher-education.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI guidance,,https://www.uml.edu/academics/provost/faculty-success/resources.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI guidance,,https://www.uml.edu/uml-magazine/spring-2024/ai-for-students.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/academics/sound-learning/celt/exploring-ai/academic-integrity-and-detection.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/myuml/news/2024/language-regarding-artificial-intelligence-added-to-academic-integrity-policy.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/academics/sound-learning/celt/exploring-ai/ai-guidance-office-of-research-integrity.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/academics/sound-learning/celt/exploring-ai/resources-for-researchers.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/academics/sound-learning/celt/exploring-ai/ai-in-syllabi.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/library/ask/faq/ai-lesson-plans.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/academics/sound-learning/celt/exploring-ai/,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/academics/sound-learning/celt/exploring-ai/about-this-project.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/policies/undergraduate/academic-integrity.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/academics/provost/faculty-success/career-navigation/celt/exploring-ai/researcher-resources.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/academics/provost/faculty-success/career-navigation/celt/exploring-ai/academic-integrity-and-detection.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/academics/provost/faculty-success/career-navigation/celt/exploring-ai/ai-in-syllabi.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/academics/provost/faculty-success/career-navigation/celt/exploring-ai/ai-guidance-ori.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/student-affairs/sr/student-conduct-code.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/catalog/graduate/policies/university-disciplinary-procedures.aspx,gemini,True,gemini
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/academics/provost/faculty-success/resources-at-a-glance.aspx,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI policy,,https://www.highline.edu/student-services/community-standards/academic-integrity/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI policy,,https://www.highline.edu/learning-teaching-center/generative-ai/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI policy,,https://www.highline.edu/information-technology-services/ai-microsoft-365-copilot-and-google-gemini/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI policy,,https://www.highline.edu/student-services/community-standards/instructor-resources/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI policy,,https://www.highline.edu/instructional-policies-and-procedures/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI guidance,,https://it.highline.edu/ai-microsoft-365-copilot-and-google-gemini/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI guidance,,https://ltc.highline.edu/academic-integrity/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI guidance,,https://ltc.highline.edu/generative-ai/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI guidance,,https://it.highline.edu/microsoft-365-copilot/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI guidance,,https://www.highline.edu/student-services/community-standards/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI academic integrity,,https://www.highline.edu/learning-teaching-center/academic-integrity/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI academic integrity,,https://www.highline.edu/student-services/student-conduct/academic-integrity/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI academic integrity,,https://www.highline.edu/student-services/student-conduct/academic-integrity/instructor-resources/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College AI academic integrity,,https://www.highline.edu/student-services/student-conduct/student-conduct-code/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College academic integrity,,https://www.highline.edu/student-services/community-standards-student-conduct/academic-integrity/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College academic integrity,,https://www.highline.edu/student-services/community-standards-student-conduct/academic-integrity/academic-integrity-process-overview/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College academic integrity,,https://its.highline.edu/ai-microsoft-365-copilot-and-google-gemini/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College academic integrity,,https://www.highline.edu/student-services/community-standards-student-conduct/instructor-resources/,gemini,True,gemini
Highline College,https://www.highline.edu/,highline.edu,Highline College academic integrity,,https://www.highline.edu/student-services/community-standards-student-conduct/student-conduct-violations/,gemini,True,gemini
University of Pikeville,https://www.upike.edu/,upike.edu,University of Pikeville academic integrity,,https://www.upike.edu/academic-integrity/,gemini,True,gemini
University of Pikeville,https://www.upike.edu/,upike.edu,University of Pikeville academic integrity,,https://www.upike.edu/student-handbook/,gemini,True,gemini
University of Pikeville,https://www.upike.edu/,upike.edu,University of Pikeville academic integrity,,https://www.upike.edu/wp-content/uploads/2024/08/student-handbook-2024-2025-introduction.pdf,gemini,True,gemini
University of Pikeville,https://www.upike.edu/,upike.edu,University of Pikeville academic integrity,,https://www.upike.edu/wp-content/uploads/2021/08/2021-2022-student-handbook-student-conduct-process.pdf,gemini,True,gemini
University of Pikeville,https://www.upike.edu/,upike.edu,University of Pikeville academic integrity,,https://www.upike.edu/academics/academic-catalog/graduate-information/academic-policies-for-graduate-programs/,gemini,True,gemini
University of Pikeville,https://www.upike.edu/,upike.edu,University of Pikeville academic integrity,,https://www.upike.edu/academics/academic-catalog/undergraduate-information/undergraduate-academic-policies/,gemini,True,gemini
University of Pikeville,https://www.upike.edu/,upike.edu,University of Pikeville academic integrity,,https://www.upike.edu/wp-content/uploads/2025/05/kyco-student-handbook-2025-2026.pdf,gemini,True,gemini
CIAT,https://www.ciat.edu/,ciat.edu,CIAT AI policy,,https://www.ciat.edu/code-of-conduct,gemini,True,gemini
CIAT,https://www.ciat.edu/,ciat.edu,CIAT AI policy,,https://www.ciat.edu/blog/the-use-of-artificial-intelligence-in-virtual-environments,gemini,True,gemini
CIAT,https://www.ciat.edu/,ciat.edu,CIAT AI policy,,https://www.ciat.edu/wp-content/uploads/2025/01/ciat-catalog-2025-2026.pdf,gemini,True,gemini
CIAT,https://www.ciat.edu/,ciat.edu,CIAT AI academic integrity,,https://www.ciat.edu/student-resources/,gemini,True,gemini
CIAT,https://www.ciat.edu/,ciat.edu,CIAT academic integrity,,https://www.ciat.edu/satisfactory-academic-progress/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI policy,,https://biggio.auburn.edu/artificial-intelligence-programs/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI policy,,https://biggio.auburn.edu/artificial-intelligence-programs/syllabus-language-for-generative-artificial-intelligence/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI policy,,https://biggio.auburn.edu/artificial-intelligence-programs/advisory-guidance-on-use-of-generative-ai-tools/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI policy,,https://biggio.auburn.edu/teaching-with-ai-auburn-canvas-course/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI policy,,https://biggio.auburn.edu/integrating-ai-for-transformative-learning-in-k-12-schools/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI policy,,https://biggio.auburn.edu/ai-at-au-education-committee/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI policy,,https://biggio.auburn.edu/au-libraries-ai-research-tools/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI guidance,,https://www.auburn.edu/academic/provost/biggio/programs/ai-programs.php,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI guidance,,https://www.auburn.edu/academic/provost/biggio/programs/ai-programs/syllabus-language-for-generative-artificial-intelligence.php,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI guidance,,https://www.auburn.edu/academic/provost/biggio/programs/ai-programs/advisory-guidance-on-use-of-generative-ai-tools.php,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI guidance,,https://www.auburn.edu/academic/provost/biggio/programs/ai-programs/teaching-with-ai-auburn-canvas-course.php,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI guidance,,https://www.auburn.edu/academic/provost/biggio/programs/ai-programs/integrating-ai-for-transformative-learning-in-k-12-schools.php,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/students/ai-guidance/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://www.auburn.edu/academic/provost/resources/optional-guidelines-ai.php,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://www.auburn.edu/administration/oacp/dicp/aiguidance.php,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://biggio.auburn.edu/programs/artificial-intelligence/ai-guidance/syllabus-language-for-generative-artificial-intelligence/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/faculty/ai-guidance/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://biggio.auburn.edu/programs/artificial-intelligence/ai-guidance/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://eng.auburn.edu/programs/chemical/academics/undergraduate/honesty-ethics.html,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/policy/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/violations/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University AI academic integrity,,https://www.auburn.edu/administration/oacp/guidance-for-responsible-use-of-artificial-intelligence.php,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/resources/students/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/rights-and-responsibilities/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/resources/faqs/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/reporting/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/resources/ai-guidance-for-students/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/who-we-are/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University academic integrity,,https://www.auburn.edu/academic/provost/academic-integrity/faculty/syllabus-support/,gemini,True,gemini
Auburn University,https://www.auburn.edu/,auburn.edu,Auburn University academic integrity,,https://www.auburn.edu/eng/chem/academics/undergraduate/academic-honesty.html,gemini,True,gemini
Texas State University,https://www.txst.edu/,txst.edu,Texas State University generative AI policy,,https://www.its.txst.edu/security/guidelines/ai-tools.html,gemini,True,gemini
Texas State University,https://www.txst.edu/,txst.edu,Texas State University generative AI policy,,https://www.txst.edu/honorcode/faculty-resources/faculty-ai-guidelines.html,gemini,True,gemini
Texas State University,https://www.txst.edu/,txst.edu,Texas State University generative AI policy,,https://www.txst.edu/honorcode/student-resources/student-ai-guidelines.html,gemini,True,gemini
Texas State University,https://www.txst.edu/,txst.edu,Texas State University AI policy,,https://www.txst.edu/it/security/guidelines/ai-tools.html,gemini,True,gemini
Texas State University,https://www.txst.edu/,txst.edu,Texas State University AI policy,,https://www.txst.edu/honorcode/academic-integrity/ai-guidelines.html,gemini,True,gemini
Texas State University,https://www.txst.edu/,txst.edu,Texas State University AI policy,,https://www.txst.edu/it/ai-hub/best-practices.html,gemini,True,gemini
Texas State University,https://www.txst.edu/,txst.edu,Texas State University AI policy,,https://www.txst.edu/it/services/chatgpt.html,gemini,True,gemini
Texas State University,https://www.txst.edu/,txst.edu,Texas State University AI policy,,https://www.txst.edu/handbook/academic-honor-code.html,gemini,True,gemini
