UNITID,INSTNM,WEBADDR,group,scimago_rank,scimago_institution
1,Yeshiva Gedolah Keren Hatorah,https://yeshivagedolahkerenhatorah.com/,test,,
2,University of Massachusetts Lowell,https://www.uml.edu/,test,,
3,Highline College,https://www.highline.edu/,test,,
4,University of Pikeville,https://www.upike.edu/,test,,
5,California Institute of Arts & Technology,https://www.ciat.edu/,test,,
6,New York Law School,https://www.nyls.edu/,test,,
7,Auburn University,https://www.auburn.edu/,test,,
8,Texas State University,https://www.txst.edu/,test,,
9,Harvard University,https://www.harvard.edu/,test,,
10,New York University,https://www.nyu.edu/,test,,
