UNITID,INSTNM_common,INSTNM_ipeds,WEBADDR
129428,Rensselaer at Hartford,Rensselaer at Hartford,
132879,Johnson University Florida,Johnson University Florida,
135610,Trinity International University-Florida,Trinity International University-Florida,
142887,American Academy of Art College,American Academy of Art College,
146667,Lincoln Christian University,Lincoln Christian University,
182917,Magdalen College,Magdalen College,
197230,Wells College,Wells College,
204468,Notre Dame College,Notre Dame College,
209287,Multnomah University,Multnomah University,
211024,Clarks Summit University,Clarks Summit University,
211352,Cabrini University,Cabrini University,
215105,University of the Arts,University of the Arts,
215415,Pittsburgh Technical College,Pittsburgh Technical College,
230889,Goddard College,Goddard College,
241100,American University of Puerto Rico,American University of Puerto Rico,
260992,Northwestern College,Northwestern College,
442930,University of Antelope Valley,University of Antelope Valley,
484710,University of Phoenix-Nevada,University of Phoenix-Nevada,
488785,University of Saint Katherine,University of Saint Katherine,
