university,landing_page,domain,query_used,title,policy_url,method,domain_restricted
Yeshiva Gedolah Keren Hatorah,https://yeshivagedolahkerenhatorah.com/,yeshivagedolahkerenhatorah.com,site:yeshivagedolahkerenhatorah.com Yeshiva Gedolah Keren Hatorah generative AI policy,Yeshiva Gedolah Keren Hatorah,https://www.yeshivagedolahkerenhatorah.com/,exa,True
Yeshiva Gedolah Keren Hatorah,https://yeshivagedolahkerenhatorah.com/,yeshivagedolahkerenhatorah.com,site:yeshivagedolahkerenhatorah.com Yeshiva Gedolah Keren Hatorah academic integrity,Yeshiva Gedolah Keren Hatorah,https://yeshivagedolahkerenhatorah.com/,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Catalog : Academic Integrity,https://www.uml.edu/Catalog/Undergraduate/Policies/Academic-Policies/Academic-Integrity.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Academic Integrity | Graduate Programs & Policies | Academic Catalog | UMass Lowell,https://www.uml.edu/catalog/graduate/policies/academic-integrity.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Language Regarding Artificial Intelligence Added to Academic Integrity Policy | MyUML | UMass Lowell,https://www.uml.edu/myuml/submissions/2024/2024-08-29-08-29-16-language-regarding-artificial-intel.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,About the Artificial intelligence (AI) Task Force | Center for Excellence in Learning and Teaching,https://uml.edu/celt/exploring-ai/about.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Generative Artificial Intelligence (AI) | Software | Information Technology | UMass Lowell,https://www.uml.edu/it/software/it-generative-ai.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Academic Integrity and Detection | Exploring AI | Center for Excellence in Learning and Teaching | UMass Lowell,https://www.uml.edu/celt/exploring-ai/academic-integrity.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Research Best Practices,https://www.uml.edu/celt/exploring-ai/research-practices.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Faculty Senate Call for Comment #8: Request to Update the Policy on Academic Integrity | MyUML | UMass Lowell,https://www.uml.edu/myuml/submissions/2026/2026-02-03-15-06-12-faculty-senate-call-for-comment-8.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Introducing Artificial Intelligence in Syllabi,https://uml.edu/celt/exploring-ai/ai-in-syllabi.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,Resources for Researchers | Exploring AI | Center for Excellence in Learning and Teaching | UMass Lowell,https://uml.edu/celt/exploring-ai/researchers.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell generative AI policy,AI Guidance (Office of Research Integrity) | Center for Excellence in Learning and Teaching,https://uml.edu/celt/exploring-ai/ori-guidance.aspx,exa,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,site:uml.edu University of Massachusetts Lowell AI policy,Academic Integrity | Policies | Undergraduate Programs & Policies | Academic Catalog | UMass Lowell,https://www.uml.edu/catalog/undergraduate/policies/academic-policies/academic-integrity.aspx,exa,True
