university,landing_page,domain,query_used,title,policy_url,method,domain_restricted
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/Academics/sound-learning/celt/exploring-ai/academic-integrity-detection.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/myuml/news/2024/ai-academic-integrity-policy.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/catalog/graduate/policies/academic-integrity.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/catalog/undergraduate/policies/academic-integrity.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI policy,,https://www.uml.edu/magazine/2024/ai-for-students.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/policies/undergraduate/academic-integrity.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/celt/exploring-ai/academic-integrity-and-detection.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/it/software/generative-ai.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/celt/exploring-ai/researcher-resources.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/celt/exploring-ai/ai-in-syllabi.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/celt/exploring-ai/ai-guidance-office-of-research-integrity.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://www.uml.edu/docs/Policy-on-Graduate-Student-Use-of-Generative-AI-Technology.pdf,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell AI academic integrity,,https://libanswers.uml.edu/faq/370000,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/undergraduate/policies/academic-integrity.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/catalog/policies/academic-integrity.aspx,gemini,True
University of Massachusetts Lowell,https://www.uml.edu/,uml.edu,University of Massachusetts Lowell academic integrity,,https://www.uml.edu/catalog/graduate/policies/disciplinary-procedures.aspx,gemini,True
